Year,Series,Team,Player,PTS_mean,PTS_std,PTS_CV,PTS_G
2017,2017_nba_finals_cavaliers_vs_warriors,CLE,Deron Williams,1.0,2.236,2.236,5
2017,2017_nba_finals_cavaliers_vs_warriors,GSW,James Michael McAdoo,1.0,1.155,1.155,4
2017,2017_nba_finals_cavaliers_vs_warriors,GSW,Matt Barnes,0.6,1.342,2.236,5
2017,2017_nba_finals_cavaliers_vs_warriors,CLE,James Jones,0.0,0.0,0.0,3
2016,2016_nba_finals_cavaliers_vs_warriors,CLE,LeBron James,29.714,8.655,0.291,7
2016,2016_nba_finals_cavaliers_vs_warriors,CLE,Kyrie Irving,27.143,9.668,0.356,7
2016,2016_nba_finals_cavaliers_vs_warriors,GSW,Stephen Curry,22.571,9.108,0.404,7
2016,2016_nba_finals_cavaliers_vs_warriors,GSW,Klay Thompson,19.571,10.031,0.513,7
2016,2016_nba_finals_cavaliers_vs_warriors,GSW,Draymond Green,16.5,11.059,0.67,6
2016,2016_nba_finals_cavaliers_vs_warriors,CLE,J.R. Smith,10.571,5.653,0.535,7
2016,2016_nba_finals_cavaliers_vs_warriors,CLE,Tristan Thompson,10.286,3.2,0.311,7
2016,2016_nba_finals_cavaliers_vs_warriors,GSW,Harrison Barnes,9.286,6.264,0.675,7
2016,2016_nba_finals_cavaliers_vs_warriors,GSW,Andre Iguodala,9.143,3.976,0.435,7
2016,2016_nba_finals_cavaliers_vs_warriors,CLE,Kevin Love,8.5,5.206,0.612,6
2016,2016_nba_finals_cavaliers_vs_warriors,GSW,Shaun Livingston,8.286,5.469,0.66,7
